PedidoEnviado;Barra;Qtd_Pedido;DataPedido;Qtd_Atendida;Qtd_Atendida_Not;NumeroNotaPedido;Observacao
28094974;7896181900658;1;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181901341;6;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181915034;6;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896658018954;6;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28108012;7896181901143;6;04/05/2022;6;6;00432319;PRODUTO FATURADO
28108012;7896181913252;20;04/05/2022;20;20;00432319;PRODUTO FATURADO
28108012;7896181926221;12;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181926757;6;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181926788;5;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181927594;2;04/05/2022;0;;;FALTA ESTOQUE
28173470;7896181911128;13;16/05/2022;0;;;FALTA ESTOQUE
38093615;7896181901006;12;02/05/2022;0;;;FALTA ESTOQUE
38115824;7896181911128;12;05/05/2022;0;;;FALTA ESTOQUE
38116033;7896181911128;24;05/05/2022;0;;;FALTA ESTOQUE
38121212;7896181925859;12;06/05/2022;0;;;FALTA ESTOQUE
38123419;7896181909347;6;06/05/2022;0;;;FALTA ESTOQUE
38123419;7896181913542;6;06/05/2022;0;;;FALTA ESTOQUE
38129965;7896181914280;40;09/05/2022;0;;;FALTA ESTOQUE
38129965;7896181920540;6;09/05/2022;0;;;FALTA ESTOQUE
38132741;7896181911128;12;09/05/2022;0;;;FALTA ESTOQUE
38132742;7896181911128;24;09/05/2022;0;;;FALTA ESTOQUE
38132744;7896181918424;50;09/05/2022;0;;;FALTA ESTOQUE
38140843;7896181901327;12;10/05/2022;0;;;FALTA ESTOQUE
38140940;7896181924098;15;10/05/2022;0;;;FALTA ESTOQUE
38141189;7896181901341;6;10/05/2022;0;;;FALTA ESTOQUE
38141189;7896181920540;6;10/05/2022;0;;;FALTA ESTOQUE
38141191;7896181916987;40;10/05/2022;40;40;00433418;PRODUTO FATURADO
38141379;7896181911715;12;10/05/2022;0;;;FALTA ESTOQUE
38141379;7896181914303;40;10/05/2022;0;;;FALTA ESTOQUE
38141379;7896181921943;4;10/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
38141472;7896181909262;24;10/05/2022;0;;;FALTA ESTOQUE
