PedidoEnviado;Barra;Qtd_Pedido;DataPedido;Qtd_Atendida;Qtd_Atendida_Not;NumeroNotaPedido;Observacao
18094302;7896658003653;1;14/04/2022;1;1;00000000000001469980;ATENDIDO
18094312;7896658018954;2;14/04/2022;0;;;FALTA DE ESTOQUE
18094315;7896658001918;24;14/04/2022;24;24;00000000000000305766;ATENDIDO
18094319;7896181915188;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094319;7896658001079;4;14/04/2022;4;4;00000000000001470006;ATENDIDO
18094319;7896658003547;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094329;7896181918691;12;14/04/2022;0;;;FALTA DE ESTOQUE
18094329;7896181921011;12;14/04/2022;0;;;FALTA DE ESTOQUE
18094363;7896181906582;6;14/04/2022;6;6;00000000000018783622;ATENDIDO
18094364;7896181909248;5;14/04/2022;5;5;00000000000006887028;ATENDIDO
18094365;7896181901143;3;14/04/2022;3;3;00000000000006887098;ATENDIDO
18094365;7896181901341;9;14/04/2022;9;9;00000000000006887098;ATENDIDO
18094365;7896181909880;3;14/04/2022;3;3;00000000000006887098;ATENDIDO
18094365;7896181915034;4;14/04/2022;4;4;00000000000006887098;ATENDIDO
18094374;7896658001901;12;14/04/2022;12;12;00000000000018783624;ATENDIDO
18094409;7896658002687;1;14/04/2022;1;1;00000000000001467901;ATENDIDO
18094409;7896658008115;2;14/04/2022;2;2;00000000000001467901;ATENDIDO
18094409;7896658008764;3;14/04/2022;3;3;00000000000001467901;ATENDIDO
18094410;7896181906612;3;14/04/2022;3;3;00000000000016071941;ATENDIDO
18094414;7896658014321;6;14/04/2022;6;6;00000000000008285544;ATENDIDO
18094502;7896658026195;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094506;7896658016844;2;14/04/2022;2;2;00000000000016075284;ATENDIDO
18094506;7896658027703;1;14/04/2022;1;1;00000000000016075284;ATENDIDO
18094506;7896658030345;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094537;7896181922247;1;14/04/2022;1;1;00000000000006493746;ATENDIDO
18094538;7896658003547;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094545;7896658021428;2;14/04/2022;2;2;00000000000006886272;ATENDIDO
18094546;7896658033216;4;14/04/2022;0;;;PRODUTO DESCONTINUADO
18094571;7896658004810;1;14/04/2022;1;1;00000000000016726445;ATENDIDO
18094585;7896658000560;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094589;7896658021121;2;14/04/2022;2;2;00000000000006016948;ATENDIDO
18094589;7896658023361;3;14/04/2022;3;3;00000000000006016948;ATENDIDO
18094590;7896658026904;2;14/04/2022;0;;;FALTA DE ESTOQUE
18094624;7896181901327;24;14/04/2022;24;24;00000000000004466759;ATENDIDO
18094633;7896658003172;3;14/04/2022;3;3;00000000000016720924;ATENDIDO
18094635;7896181916451;2;14/04/2022;2;2;00000000000016071989;ATENDIDO
18094640;7896181900122;15;14/04/2022;15;15;00000000000006493837;ATENDIDO
18094640;7896181918424;4;14/04/2022;0;;;FALTA DE ESTOQUE
18094640;7896181919322;2;14/04/2022;2;2;00000000000006493837;ATENDIDO
18094640;7896658038495;2;14/04/2022;2;2;00000000000006493837;ATENDIDO
18094646;7896181918424;4;14/04/2022;0;;;FALTA DE ESTOQUE
18094677;7896181901341;2;14/04/2022;0;;;FALTA DE ESTOQUE
18094678;7896658001123;1;14/04/2022;1;1;00000000000016075643;ATENDIDO
18094678;7896658007255;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094681;7896181907534;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094694;7896181907220;2;14/04/2022;2;2;00000000000000427300;ATENDIDO
18094694;7896181909705;24;14/04/2022;24;24;00000000000000427300;ATENDIDO
18094694;7896181914303;6;14/04/2022;0;;;FALTA DE ESTOQUE
18094694;7896181922377;8;14/04/2022;0;;;FALTA DE ESTOQUE
18094694;7896181927600;12;14/04/2022;0;;;PRODUTO DESCONTINUADO
18094694;7896181927655;12;14/04/2022;0;;;FALTA DE ESTOQUE
18094699;7896658016837;1;14/04/2022;1;1;00000000000016072742;ATENDIDO
18094700;7896181925149;12;14/04/2022;0;;;FALTA DE ESTOQUE
18094702;7896181909460;36;14/04/2022;0;;;FALTA DE ESTOQUE
18094702;7896181915027;2;14/04/2022;0;;;FALTA DE ESTOQUE
18094702;7896181921011;6;14/04/2022;0;;;FALTA DE ESTOQUE
18094702;7896181924081;20;14/04/2022;0;;;FALTA DE ESTOQUE
18094702;7896181926603;6;14/04/2022;6;6;00000000000004467848;ATENDIDO
18094702;7896181929161;2;14/04/2022;2;2;00000000000004467848;ATENDIDO
18094703;7896658000652;4;14/04/2022;4;4;00000000000016071431;ATENDIDO
18094775;7896181918424;30;14/04/2022;0;;;FALTA DE ESTOQUE
